# tracer: nop
#
# entries-in-buffer/entries-written: 2022/2022   #P:2
#
#                                _-----=> irqs-off
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| /     delay
#           TASK-PID     CPU#  ||||   TIMESTAMP  FUNCTION
#              | |         |   ||||      |         |
            sshd-15643   [000] .Ns. 227544.012682: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:35044 mark=0x0 data_len=0 snd_nxt=0xa3d53be9 snd_una=0xa3d53bc5 snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=1688 rcv_wnd=62780 sock_cookie=72
          <idle>-0       [001] ..s. 227553.630430: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:49572 mark=0x0 data_len=0 snd_nxt=0xdeccd8d7 snd_una=0xdecb8577 snd_cwnd=37 ssthresh=30 snd_wnd=145280 srtt=849371 rcv_wnd=65024 sock_cookie=74
          <idle>-0       [001] ..s. 227553.643324: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:49572 mark=0x0 data_len=0 snd_nxt=0xdeccd8d7 snd_una=0xdecb8577 snd_cwnd=35 ssthresh=30 snd_wnd=148096 srtt=860224 rcv_wnd=65024 sock_cookie=74
          <idle>-0       [001] ..s. 227553.654531: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:49572 mark=0x0 data_len=0 snd_nxt=0xdeccd8d7 snd_una=0xdecb8577 snd_cwnd=35 ssthresh=30 snd_wnd=151040 srtt=871332 rcv_wnd=65024 sock_cookie=74
          <idle>-0       [001] ..s. 227553.707432: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:49572 mark=0x0 data_len=0 snd_nxt=0xdeccde7f snd_una=0xdecb8577 snd_cwnd=35 ssthresh=30 snd_wnd=153984 srtt=882452 rcv_wnd=65024 sock_cookie=74
          <idle>-0       [001] ..s. 227553.719224: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:49572 mark=0x0 data_len=0 snd_nxt=0xdecce427 snd_una=0xdecb8577 snd_cwnd=35 ssthresh=30 snd_wnd=156800 srtt=893013 rcv_wnd=65024 sock_cookie=74
          <idle>-0       [001] ..s. 227553.731505: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:49572 mark=0x0 data_len=0 snd_nxt=0xdecce427 snd_una=0xdecb8577 snd_cwnd=34 ssthresh=30 snd_wnd=159744 srtt=903726 rcv_wnd=65024 sock_cookie=74
          <idle>-0       [001] ..s. 227553.744301: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:49572 mark=0x0 data_len=0 snd_nxt=0xdecce9cf snd_una=0xdecb8577 snd_cwnd=34 ssthresh=30 snd_wnd=162560 srtt=914636 rcv_wnd=65024 sock_cookie=74
          <idle>-0       [001] ..s. 227553.839391: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:49572 mark=0x0 data_len=0 snd_nxt=0xdeccef77 snd_una=0xdecb8577 snd_cwnd=34 ssthresh=30 snd_wnd=165504 srtt=925782 rcv_wnd=65024 sock_cookie=74
          <idle>-0       [001] ..s. 227553.851909: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:49572 mark=0x0 data_len=0 snd_nxt=0xdeccef77 snd_una=0xdecb8577 snd_cwnd=33 ssthresh=30 snd_wnd=168448 srtt=940253 rcv_wnd=65024 sock_cookie=74
          <idle>-0       [001] ..s. 227554.348706: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:49572 mark=0x0 data_len=0 snd_nxt=0xdeccf51f snd_una=0xdecb8577 snd_cwnd=33 ssthresh=30 snd_wnd=171264 srtt=954481 rcv_wnd=65024 sock_cookie=74
          <idle>-0       [001] ..s. 227554.360936: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:49572 mark=0x0 data_len=0 snd_nxt=0xdeccfac7 snd_una=0xdecb8577 snd_cwnd=33 ssthresh=30 snd_wnd=174208 srtt=998407 rcv_wnd=65024 sock_cookie=74
          <idle>-0       [001] ..s. 227554.372985: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:49572 mark=0x0 data_len=0 snd_nxt=0xdeccfac7 snd_una=0xdecb8577 snd_cwnd=32 ssthresh=30 snd_wnd=177152 srtt=1038370 rcv_wnd=65024 sock_cookie=74
          <idle>-0       [001] ..s. 227554.386069: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:49572 mark=0x0 data_len=0 snd_nxt=0xdecd006f snd_una=0xdecb8577 snd_cwnd=32 ssthresh=30 snd_wnd=179968 srtt=1074845 rcv_wnd=65024 sock_cookie=74
          <idle>-0       [001] ..s. 227554.448802: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:49572 mark=0x0 data_len=0 snd_nxt=0xdecd0617 snd_una=0xdecb8577 snd_cwnd=32 ssthresh=30 snd_wnd=182912 srtt=1108396 rcv_wnd=65024 sock_cookie=74
          <idle>-0       [001] ..s. 227554.463212: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:49572 mark=0x0 data_len=0 snd_nxt=0xdecd0617 snd_una=0xdecb8577 snd_cwnd=31 ssthresh=30 snd_wnd=185728 srtt=1144089 rcv_wnd=65024 sock_cookie=74
          <idle>-0       [001] ..s. 227554.473399: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:49572 mark=0x0 data_len=0 snd_nxt=0xdecd0617 snd_una=0xdecb8577 snd_cwnd=30 ssthresh=30 snd_wnd=188672 srtt=1177122 rcv_wnd=65024 sock_cookie=74
