# tracer: nop
#
# entries-in-buffer/entries-written: 1993/1993   #P:2
#
#                                _-----=> irqs-off
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| /     delay
#           TASK-PID     CPU#  ||||   TIMESTAMP  FUNCTION
#              | |         |   ||||      |         |
            sshd-15643   [000] .... 229186.902148: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:35044 mark=0x0 data_len=0 snd_nxt=0xa3d5ad21 snd_una=0xa3d5acfd snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=1668 rcv_wnd=62780 sock_cookie=72
          <idle>-0       [001] ..s. 229195.045591: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:41236 mark=0x0 data_len=0 snd_nxt=0xb4ad0e67 snd_una=0xb4ac80ff snd_cwnd=26 ssthresh=25 snd_wnd=106624 srtt=613281 rcv_wnd=65024 sock_cookie=76
          <idle>-0       [001] ..s. 229195.113495: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:41236 mark=0x0 data_len=0 snd_nxt=0xb4ad19b7 snd_una=0xb4ac8c4f snd_cwnd=26 ssthresh=25 snd_wnd=112512 srtt=624294 rcv_wnd=65024 sock_cookie=76
          <idle>-0       [001] ..s. 229195.143481: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:41236 mark=0x0 data_len=0 snd_nxt=0xb4ad2aaf snd_una=0xb4ac91f7 snd_cwnd=27 ssthresh=25 snd_wnd=115328 srtt=636141 rcv_wnd=65024 sock_cookie=76
          <idle>-0       [001] ..s. 229195.167857: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:41236 mark=0x0 data_len=0 snd_nxt=0xb4ad3057 snd_una=0xb4ac979f snd_cwnd=27 ssthresh=25 snd_wnd=118272 srtt=638311 rcv_wnd=65024 sock_cookie=76
          <idle>-0       [001] ..s. 229195.336844: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:41236 mark=0x0 data_len=0 snd_nxt=0xb4ad35ff snd_una=0xb4ac9d47 snd_cwnd=27 ssthresh=25 snd_wnd=121088 srtt=643256 rcv_wnd=65024 sock_cookie=76
          <idle>-0       [001] ..s. 229195.361126: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:41236 mark=0x0 data_len=0 snd_nxt=0xb4ad3ba7 snd_una=0xb4aca2ef snd_cwnd=27 ssthresh=25 snd_wnd=124032 srtt=662396 rcv_wnd=65024 sock_cookie=76
          <idle>-0       [001] ..s. 229195.530431: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:41236 mark=0x0 data_len=0 snd_nxt=0xb4ad414f snd_una=0xb4aca897 snd_cwnd=27 ssthresh=25 snd_wnd=126976 srtt=682178 rcv_wnd=65024 sock_cookie=76
          <idle>-0       [001] ..s. 229195.554683: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:41236 mark=0x0 data_len=0 snd_nxt=0xb4ad46f7 snd_una=0xb4acae3f snd_cwnd=27 ssthresh=25 snd_wnd=129792 srtt=714788 rcv_wnd=65024 sock_cookie=76
          <idle>-0       [001] ..s. 229195.723005: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:41236 mark=0x0 data_len=0 snd_nxt=0xb4ad4c9f snd_una=0xb4acb3e7 snd_cwnd=27 ssthresh=25 snd_wnd=132736 srtt=746353 rcv_wnd=65024 sock_cookie=76
     quic_server-16018   [001] ..s. 229195.794206: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:41236 mark=0x0 data_len=0 snd_nxt=0xb4ad5247 snd_una=0xb4acb98f snd_cwnd=27 ssthresh=25 snd_wnd=134784 srtt=788978 rcv_wnd=65024 sock_cookie=76
